anime_id,anime_name,recommendation_count
5162,Minami-ke Okaeri,12
5177,Denpa-teki na Kanojo,12
5204,Kara no Kyoukai 6: Boukyaku Rokuon,440
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),717
5252,One Piece: Romance Dawn Story,48
5258,Hajime no Ippo: New Challenger,527
5262,Shugo Chara!! Doki,3
5277,Sekirei: Pure Engagement,384
5300,Zoku Natsume Yuujinchou,409
5341,Ookami to Koushinryou II,1488
5342,Asura Cryin&#039;,1
5355,Sengoku Basara,4
5356,Canaan,46
5460,Detective Conan Movie 13: The Raven Chaser,75
5507,Senjou no Valkyria,1
5525,07-Ghost,110
5526,Pokemon: Pikachu no Natsuyasumi,8
5530,Pandora Hearts,610
5593,Dogs: Bullets &amp; Carnage,1
5630,Higashi no Eden,1685
5667,To LOVE-Ru OVA,52
5671,Saki,1
5678,Kobato.,2
5680,K-On!,2806
5681,Summer Wars,1689
5682,Phantom: Requiem for the Phantom,113
5690,Nodame Cantabile Finale,44
5764,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,142
5774,Seitokaichou ni Chuukoku,11
5781,Isekai no Seikishi Monogatari,1
5909,Seitokai no Ichizon,69
5940,Seiken no Blacksmith,7
5958,Sora no Otoshimono,1384
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,130
6033,Dragon Ball Kai,513
6045,Kimi ni Todoke,3043
6114,Rainbow: Nisha Rokubou no Shichinin,16
6115,Lupin III vs. Detective Conan,16
6166,Asobi ni Iku yo!,14
6178,Pokemon Diamond &amp; Pearl: Arceus Choukoku no Jikuu e,67
6201,Princess Lover!,125
6205,Kämpfer,178
6211,Tokyo Magnitude 8.0,27
6213,Toaru Kagaku no Railgun,691
6288,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,82
6324,Omamori Himari,154
6325,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,1200
6347,Baka to Test to Shoukanjuu,2329
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",2794
6372,Higashi no Eden Movie I: The King of Eden,127
6377,Zan Sayonara Zetsubou Sensei,2
6381,Strike Witches 2,1
6421,Fullmetal Alchemist: Brotherhood Specials,154
6438,Detective Conan OVA 09: The Stranger in 10 Years...,11
6467,Detective Conan Movie 14: The Lost Ship in the Sky,69
6500,Seikon no Qwaser,1
6512,Nyan Koi!,193
6547,Angel Beats!,7900
6572,Shakugan no Shana S,5
6573,Darker than Black: Ryuusei no Gemini,1796
6594,Katanagatari,268
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,15
6637,Higashi no Eden Movie II: Paradise Lost,36
6675,Redline,115
6676,Asura Cryin&#039; 2,1
6682,11eyes,18
6702,Fairy Tail,4782
6707,Kuroshitsuji II,3026
6746,Durarara!!,6505
6747,Dance in the Vampire Bund,41
6772,Break Blade 1: Kakusei no Toki,57
6773,Shakugan no Shana III (Final),272
6793,Kuroshitsuji Special,21
6802,So Ra No Wo To,5
6811,InuYasha: Kanketsu-hen,286
6862,K-On!: Live House!,239
6880,Deadman Wonderland,5048
6895,Hakuouki,6
6922,Fate/stay night Movie: Unlimited Blade Works,329
6954,Kara no Kyoukai: Shuushou,125
6956,Working!!,316
7054,Kaichou wa Maid-sama!,4326
7058,Uragiri wa Boku no Namae wo Shitteiru,10
7059,Black★Rock Shooter (OVA),243
7088,Ichiban Ushiro no Daimaou,685
7148,Ladies versus Butlers!,60
7311,Suzumiya Haruhi no Shoushitsu,3287
7338,Darker than Black: Kuro no Keiyakusha Gaiden,1122
7367,Naruto: The Cross Roads,13
7465,Eve no Jikan (Movie),4
7472,Gintama Movie: Shinyaku Benizakura-hen,80
7590,Mayoi Neko Overrun!,4
7592,Nurarihyon no Mago,49
7593,Kiss x Sis (TV),868
7627,Mitsudomoe,3
7647,Arakawa Under the Bridge,150
7662,Shinrei Tantei Yakumo,6
7674,Bakuman.,1580
7695,Pokemon Diamond &amp; Pearl: Genei no Hasha Zoroark,20
7711,Karigurashi no Arrietty,707
7724,Shiki,1193
7769,Ookami-san to Shichinin no Nakama-tachi,76
7785,Yojouhan Shinwa Taikei,9
7791,K-On!!,2169
7817,B Gata H Kei,327
7858,Sora no Otoshimono: Project Pink,18
8063,Sekaiichi Hatsukoi OVA,287
8074,Highschool of the Dead,7126
8086,Densetsu no Yuusha no Densetsu,68
8129,Kuragehime,31
8171,One Piece Recap,1
8246,Naruto: Shippuuden Movie 4 - The Lost Tower,1043
8247,Bleach Movie 4: Jigoku-hen,1203
8277,Hyakka Ryouran: Samurai Girls,24
8407,Sora no Otoshimono: Forte,845
8408,Durarara!! Specials,219
8424,MM!,172
8425,Gosick,316
8460,Mirai Nikki,17
8514,Break Blade 2: Ketsubetsu no Michi,39
8516,Baka to Test to Shoukanjuu Ni!,962
8525,Kami nomi zo Shiru Sekai,1280
8536,Fortune Arterial: Akai Yakusoku,9
8557,Shinryaku! Ika Musume,51
8630,Hidan no Aria,194
8634,Koisuru Boukun,255
8675,Seitokai Yakuindomo,411
8676,Amagami SS,130
8740,One Piece Film: Strong World Episode 0,158
8768,Hiyokoi,1
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,1753
8795,Panty &amp; Stocking with Garterbelt,257
